Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering
RadioAlvorada,RadioAlvorada,,1,0,1,1,0,1,0,0,0,0,216,175,2919,0
camabap,camabap,,0,2,2,0,2,2,1,1,1,0,10,0,2922,0
Madi70634980,Madi70634980,,1,0,1,1,0,1,0,0,0,0,10,0,2921,0
bdfreitas,bdfreitas,,0,1,1,0,1,1,1,1,1,0,88,0,2923,0
MagdaJEML,MagdaJEML,,0,1,1,0,1,1,1,1,1,0,25,0,2924,0
cut_minas,cut_minas,,0,1,1,0,1,1,1,1,1,0,88,0,2925,0
keepfodase,keepfodase,,0,1,1,0,1,1,2,0.571429,0.625,0,5,0,2926,0
MariaMariatnpt,MariaMariatnpt,,0,2,2,0,7,7,2,0.583333,0.642857,0,10,0,2927,0
IDCOBot,IDCOBot,,0,1,1,0,1,1,1,1,1,0,80,0,2928,0
itmalia46090314,itmalia46090314,,0,1,1,0,1,1,1,1,1,0,76,0,2929,0
VoliaAlmeida,VoliaAlmeida,,0,1,1,0,1,1,1,1,1,0,25,0,2930,0
carmennnunes,carmennnunes,,0,2,2,0,2,2,1,1,1,0,76,0,2931,1
AzulIndignado_,AzulIndignado_,,0,2,2,0,2,2,1,1,1,0,76,0,2932,1
GAM3BO1CHAN,GAM3BO1CHAN,,0,2,2,0,2,2,1,1,1,0,76,0,2933,1
cleitonsubmente,cleitonsubmente,,0,1,1,0,1,1,1,1,1,0,25,0,2934,0
peptuz,peptuz,,0,1,1,0,1,1,1,1,1,0,102,0,2935,0
renatonegrao,renatonegrao,,1,0,1,1,0,1,0,0,0,0,10,0,340,0
lucianofalbo,lucianofalbo,,0,2,2,0,2,2,1,1,1,0,76,0,2936,1
Elenibrisa,Elenibrisa,,0,1,1,0,1,1,1,1,1,0,102,0,2937,0
MarcioATC,MarcioATC,,0,3,3,0,3,3,1,1,1,0,0,0,2938,0.333333
AniLoraCNMP,AniLoraCNMP,,0,1,1,0,1,1,1,1,1,0,102,0,2939,0
_Camus_0,_Camus_0,,0,2,2,0,2,2,1,1,1,0,76,0,2940,1
leninhamoura28,leninhamoura28,,1,0,1,1,0,1,0,0,0,0,57,0,401,0
VlademirLouren2,VlademirLouren2,,0,1,1,0,1,1,1,1,1,0,88,0,2941,0
lucibianchi,lucibianchi,,0,1,1,0,1,1,1,1,1,0,25,0,2942,0
gsilvajpan,gsilvajpan,,2,0,2,3,0,3,0,0,0,0,90,57,1341,0.5
Jannuzzi18bfr,Jannuzzi18bfr,,0,2,2,0,2,2,1,1,1,0,76,0,2943,1
FernandoCesar77,FernandoCesar77,,0,2,2,0,2,2,1,1,1,0,76,0,2944,1
sirlantj,sirlantj,,0,2,2,0,2,2,1,1,1,0,76,0,2945,1
RevistaMedico,RevistaMedico,,0,1,1,0,1,1,1,1,1,0,45,0,2946,0
VanderleiComino,VanderleiComino,,0,1,1,0,1,1,1,1,1,0,4,0,2947,0
MarciaF77735886,MarciaF77735886,,0,2,2,0,2,2,2,0.583333,0.642857,0,213,0,2948,0
crdesigne,crdesigne,,0,2,2,0,2,2,1,1,1,0,76,0,2949,1
fabmascarenhas,fabmascarenhas,,0,2,2,0,2,2,1,1,1,0,76,0,2950,1
eleizomar,eleizomar,,0,2,2,0,2,2,1,1,1,0,76,0,2951,1
carvalhogilbert,carvalhogilbert,,0,2,2,0,2,2,1,1,1,0,76,0,2952,1
YuriGross5,YuriGross5,,0,2,2,0,2,2,5,0.352941,0.447222,0,4,0,2953,0.5
angoneto,angoneto,,0,1,1,0,1,1,1,1,1,0,25,0,2954,0
DilzaHeredia,DilzaHeredia,,0,1,1,0,1,1,1,1,1,0,25,0,2955,0
yec_terrza,yec_terrza,,0,1,1,0,2,2,1,1,1,0,25,0,2956,0
CristinaIeda,CristinaIeda,,0,1,1,0,1,1,1,1,1,0,25,0,2957,0
citypaperbogota,citypaperbogota,,1,2,3,1,3,4,1,1,1,0,217,176,2959,0.5
the,the,,1,0,1,2,0,2,0,0,0,0,217,176,2958,0
jonatajp,jonatajp,,0,2,2,0,2,2,1,1,1,0,76,0,2960,1
_luzgui,_luzgui,,0,2,2,0,2,2,1,1,1,0,76,0,2961,1
bardelao,bardelao,,0,1,1,0,1,1,1,1,1,0,25,0,2962,0
tvtecjundiai,tvtecjundiai,,1,0,1,2,0,2,0,0,0,0,0,0,127,0
ColellaRicardo,ColellaRicardo,,0,2,2,0,2,2,1,1,1,0,4,0,2963,0
olizinharj,olizinharj,,0,2,2,0,2,2,1,1,1,0,27,0,2964,0
pancueca,pancueca,,0,2,2,0,2,2,1,1,1,0,76,0,2965,1
aldunate_r,aldunate_r,,0,1,1,0,1,1,1,1,1,0,213,0,2966,0
Nortelaw9,Nortelaw9,,0,1,1,0,1,1,1,1,1,0,25,0,2967,0
victoranicio,victoranicio,,0,1,1,0,1,1,1,1,1,0,102,0,2968,0
CarlaCruz2302,CarlaCruz2302,,0,2,2,0,2,2,1,1,1,0,218,177,2971,0.5
ABCgovBr,ABCgovBr,,1,1,2,1,1,2,1,1,1,0,218,177,2970,0.5
Eletrobras,Eletrobras,,2,0,2,2,0,2,0,0,0,0,218,177,2969,0.5
WeltonCAlves,WeltonCAlves,,0,2,2,0,2,2,1,1,1,0,76,0,2972,1
Orobertopereira,Orobertopereira,,0,1,1,0,2,2,2,0.6,0.666667,0,62,0,2973,0
mundiicosta,mundiicosta,,0,3,3,0,3,3,1,1,1,0,219,114,2976,0.333333
ForbesBR,ForbesBR,,2,2,4,2,2,4,1,1,1,0,219,114,2975,0.333333
